ADDRESSBLOCK,ADDRESSROAD,ADDRESSSTREET,X,Y
345,HDB-CHOA CHU KANG,CHOA CHU KANG LOOP,18147.9151,40529.6686
319,CLEMENTI MEADOWS,CLEMENTI AVENUE 4,20373.104,33294.8367
318,CLEMENTI MEADOWS,CLEMENTI AVENUE 4,20442.8108,33367.5067
305A,ANCHORVALE PLACE,ANCHORVALE LINK,34103.9337,41148.0059
260,HDB-BOON LAY,BOON LAY DRIVE,14057.1124,36359.5046
198,BOON LAY GARDENS,BOON LAY DRIVE,14759.3943,36285.0962
194,KIM KEAT VIEW,KIM KEAT AVENUE,30767.0325,34794.0406
195,KIM KEAT VIEW,KIM KEAT AVENUE,30786.2517,34699.1327
150,BISHAN GREEN,BISHAN STREET 11,30436.8569,36296.76
150A,HDB-BISHAN,BISHAN STREET 11,30478.1825,36304.6862
151,BISHAN GREEN,BISHAN STREET 11,30474.5209,36356.6287
211,,LORONG 8 TOA PAYOH,30275.2331,35843.4125
212,,LORONG 8 TOA PAYOH,30338.8452,35867.0103
242,HDB-TOA PAYOH,KIM KEAT LINK,30504.3318,34674.5203
241,HDB-TOA PAYOH,KIM KEAT LINK,30499.3216,34746.0516
243,HDB-TOA PAYOH,KIM KEAT LINK,30583.5493,34716.7752
244,HDB-TOA PAYOH,KIM KEAT LINK,30564.164,34766.8754
245,HDB-TOA PAYOH,KIM KEAT LINK,30591.8261,34809.314
246,HDB-TOA PAYOH,KIM KEAT LINK,30506.8768,34776.511
247,HDB-TOA PAYOH,KIM KEAT LINK,30442.6331,34807.6853
248,HDB-TOA PAYOH,KIM KEAT LINK,30509.7704,34841.3579
249,HDB-TOA PAYOH,KIM KEAT LINK,30597.3278,34835.6593
252,HDB-TOA PAYOH,KIM KEAT LINK,30662.4027,34824.5022
378,HDB-CLEMENTI,CLEMENTI AVENUE 5,20665.7937,33298.3455
633,YIO CHU KANG HEIGHTS,ANG MO KIO AVENUE 6,28994.0925,40352.2689
637,YIO CHU KANG HEIGHTS,ANG MO KIO AVENUE 6,29003.3718,40258.919
306A,ANCHORVALE PLACE,ANCHORVALE LINK,34202.0307,41344.5928
316A,HDB-SENGKANG,ANCHORVALE LINK,34238.0118,41611.1939
104A,KEBUN BARU HEIGHTS,ANG MO KIO STREET 11,28610.423,39315.1763
104B,KEBUN BARU HEIGHTS,ANG MO KIO STREET 11,28572.0431,39280.2907
317C,HDB-SENGKANG,ANCHORVALE ROAD,34110.1913,41707.3113
307D,ANCHORVALE PLACE,ANCHORVALE ROAD,33917.2039,41357.7704
317D,HDB-SENGKANG,ANCHORVALE ROAD,34077.5785,41707.9951
376,HDB-CLEMENTI,CLEMENTI AVENUE 4,20585.1787,33374.4247
310,CLEMENTI MEADOWS,CLEMENTI AVENUE 4,20489.1487,33623.5892
420,GARDEN HILL,BEDOK NORTH STREET 1,38634.393,34440.9833
423,GARDEN HILL,BEDOK NORTH AVENUE 1,38488.6821,34466.5716
748B,BELVIA,BEDOK RESERVOIR CRESCENT,37784.9839,35386.2829
748C,BELVIA,BEDOK RESERVOIR CRESCENT,37812.8408,35371.67
704,RESERVOIR RISE,BEDOK RESERVOIR ROAD,37669.3838,35393.0228
703,RESERVOIR RISE,BEDOK RESERVOIR ROAD,37634.8238,35482.6061
701,RESERVOIR RISE,BEDOK RESERVOIR ROAD,37524.9976,35535.2901
702,RESERVOIR RISE,BEDOK RESERVOIR ROAD,37527.0269,35490.5
649,HDB-BEDOK,JALAN TENAGA,36101.7555,34952.5617
648,HDB-BEDOK,JALAN TENAGA,36035.2921,34946.2059
647,HDB-BEDOK,JALAN TENAGA,36055.5415,34879.3186
700C,AMK CENTRAL HEIGHTS,ANG MO KIO AVENUE 6,29465.6248,39051.4123
286,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17785.1612,40176.0269
293,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17642.8971,40016.8043
283,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17934.3399,40186.8863
408,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17666.7872,40209.5778
470,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17292.8761,40017.5987
405,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17553.9744,40243.1654
143,BISHAN GREEN,BISHAN STREET 12,30180.5277,36412.8548
423,HDB-SEMBAWANG,CANBERRA ROAD,26309.0641,48372.8524
324,KAMPUNG UBI ESTATE,UBI AVENUE 1,35888.8742,34501.6708
325,KAMPUNG UBI ESTATE,UBI AVENUE 1,35846.773,34436.4708
323,KAMPUNG UBI ESTATE,UBI AVENUE 1,35910.4524,34472.8456
322,KAMPUNG UBI ESTATE,UBI AVENUE 1,35958.9228,34459.4933
328,KAMPUNG UBI ESTATE,UBI AVENUE 1,35955.7138,34420.9561
2C,KALLANG HEIGHTS,UPPER BOON KENG ROAD,32275.6054,32824.5703
3D,KALLANG HEIGHTS,UPPER BOON KENG ROAD,32398.0959,32843.3548
2B,KALLANG HEIGHTS,UPPER BOON KENG ROAD,32260.8432,32878.3377
24,BALAM GARDENS,BALAM ROAD,34030.8,34711.0722
2,BALESTIER HILL SHOPPING CENTRE,BALESTIER ROAD,29070.2648,34236.3852
2A,BALESTIER HILL SHOPPING CENTRE,BALESTIER ROAD,29156.4046,34261.5931
257,BUKIT PANJANG NEIGHBOURHOOD CENTRE,BANGKIT ROAD,21310.9278,40054.092
256,BUKIT PANJANG NEIGHBOURHOOD CENTRE,BANGKIT ROAD,21280.3402,40113.6951
5,BEACH ROAD GARDENS,BEACH ROAD,31505.3507,31853.5197
4,,BEACH ROAD,31551.1454,31894.3925
515,KAKI BUKIT GREEN,BEDOK NORTH AVENUE 2,38755.2181,34896.7652
189,HDB-PASIR RIS,PASIR RIS STREET 12,41990.9793,38625.8153
191,HDB-PASIR RIS,PASIR RIS STREET 12,41956.9194,38678.6242
705,RESERVOIR RISE,BEDOK NORTH ROAD,37534.9099,35424.1903
706,RESERVOIR RISE,BEDOK NORTH ROAD,37537.3098,35376.6538
707,RESERVOIR RISE,BEDOK NORTH ROAD,37567.5357,35294.783
415,TECK GHEE HEARTLANDS,ANG MO KIO AVENUE 10,30263.2285,38499.8449
412,TECK GHEE HEARTLANDS,ANG MO KIO AVENUE 10,30444.9368,38433.6966
411,TECK GHEE HEARTLANDS,ANG MO KIO AVENUE 10,30443.2703,38382.8474
416,TECK GHEE HEARTLANDS,ANG MO KIO AVENUE 10,30424.425,38509.6155
107,HDB-GEYLANG,ALJUNIED CRESCENT,33672.3141,33469.9856
448,HDB-BUKIT PANJANG,BUKIT PANJANG RING ROAD,21186.666,40627.7445
613,HDB-BUKIT PANJANG,BUKIT PANJANG RING ROAD,20055.2085,40667.9768
473,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17405.0867,40176.8988
148,HDB-PASIR RIS,PASIR RIS STREET 13,42329.4894,38258.3465
257,HDB-PASIR RIS,PASIR RIS STREET 21,42509.6741,38788.4251
256,HDB-PASIR RIS,PASIR RIS STREET 21,42512.9095,38839.8288
255,HDB-PASIR RIS,PASIR RIS STREET 21,42565.9653,38917.5524
254,HDB-PASIR RIS,PASIR RIS STREET 21,42523.1847,38908.2398
354D,HDB-SEMBAWANG,ADMIRALTY DRIVE,26367.0528,48045.8339
360B,SUN BLISS,ADMIRALTY DRIVE,25987.2638,47819.6442
106,KEBUN BARU HEIGHTS,ANG MO KIO AVENUE 4,28463.7904,39326.974
157,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28675.2334,39695.8128
2A,KALLANG HEIGHTS,UPPER BOON KENG ROAD,32294.11,32892.073
2,KALLANG HEIGHTS,UPPER BOON KENG ROAD,32320.4874,32858.9313
141,HDB-HOUGANG,LORONG AH SOO,33636.0886,37243.3853
132,HDB-HOUGANG,LORONG AH SOO,33899.567,36996.041
206,,ANG MO KIO AVENUE 1,29117.571,38740.6351
205,,ANG MO KIO AVENUE 1,29142.2444,38774.8911
219,ANG MO KIO GROVE,ANG MO KIO AVENUE 1,28816.3499,38668.8637
574,,ANG MO KIO AVENUE 10,30568.2936,39212.0833
575,CHENG SAN COURT,ANG MO KIO AVENUE 10,30518.9746,39266.7049
576,CHENG SAN COURT,ANG MO KIO AVENUE 10,30395.724,39268.2352
192,HDB-PASIR RIS,PASIR RIS STREET 12,41993.1902,38698.5694
193,HDB-PASIR RIS,PASIR RIS STREET 12,42030.2246,38676.8705
483,,ADMIRALTY LINK,26026.0809,48626.6987
401,HDB-SEMBAWANG,ADMIRALTY LINK,26051.8717,48431.3324
482,,ADMIRALTY LINK,26012.7295,48560.6513
402,HDB-SEMBAWANG,ADMIRALTY LINK,26047.0252,48389.3541
605,YIO CHU KANG GREEN,ANG MO KIO AVENUE 5,28352.6507,40182.5886
603,YIO CHU KANG GREEN,ANG MO KIO AVENUE 5,28271.2237,40241.1062
649,ANG MO KIO 61,ANG MO KIO AVENUE 5,29164.47,39971.5097
608,YIO CHU KANG GREEN,ANG MO KIO AVENUE 5,28383.0228,40062.1198
241,HDB-BUKIT PANJANG,BUKIT PANJANG RING ROAD,21161.6838,40187.6963
213,HDB-BUKIT BATOK,BUKIT BATOK STREET 21,19005.4351,36550.0066
218,HDB-BUKIT BATOK,BUKIT BATOK STREET 21,19194.5329,36602.7791
208,HDB-BUKIT BATOK,BUKIT BATOK STREET 21,18595.3251,36448.8058
205,HDB-BUKIT BATOK,BUKIT BATOK STREET 21,18713.4104,36584.5181
202,HDB-BUKIT BATOK,BUKIT BATOK STREET 21,18554.8881,36525.6297
206,HDB-BUKIT BATOK,BUKIT BATOK STREET 21,18658.9471,36533.8147
503,HDB-BISHAN,BISHAN STREET 11,29639.167,36794.6664
201,HDB-BISHAN,BISHAN STREET 23,29516.5837,37461.9289
202,HDB-BISHAN,BISHAN STREET 23,29549.764,37465.1545
255,KEBUN BARU VIEW,ANG MO KIO AVENUE 4,28145.9703,39185.5666
607,YIO CHU KANG GREEN,ANG MO KIO AVENUE 4,28611.8748,40270.6073
105,KEBUN BARU HEIGHTS,ANG MO KIO AVENUE 4,28476.5941,39368.9458
618,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28570.7153,39992.4949
617,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28526.7551,39944.3565
163,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28539.7878,39505.8928
626,,ANG MO KIO AVENUE 4,28739.6211,40340.4912
302C,ANCHORVALE COURT,ANCHORVALE LINK,34324.9516,41112.3825
302B,ANCHORVALE COURT,ANCHORVALE LINK,34385.9522,41088.498
304A,ANCHORVALE COURT,ANCHORVALE LINK,34187.9768,41091.6173
311,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29719.5263,38741.5989
346,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29818.8614,38792.0368
345,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29817.683,38835.2886
347,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29698.0055,38818.8745
344,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29774.6281,38889.473
343,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29761.9704,38933.4486
348,ANG MO KIO 31,ANG MO KIO AVENUE 3,29606.7856,38692.6329
345,HDB-BUKIT BATOK,BUKIT BATOK STREET 34,18821.4649,38322.5692
199,BOON LAY GARDENS,BOON LAY DRIVE,14775.1037,36206.0559
263,HDB-BOON LAY,BOON LAY DRIVE,13932.2895,36360.2537
648,ANG MO KIO 61,ANG MO KIO AVENUE 5,29157.5188,40024.1382
154,YIO CHU KANG GROVE,ANG MO KIO AVENUE 5,28880.0915,39806.2266
611,YIO CHU KANG GREEN,ANG MO KIO AVENUE 5,28437.7295,40030.0482
313,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29871.3185,38742.7045
312,TECK GHEE EVERGREEN,ANG MO KIO AVENUE 3,29720.4901,38693.0157
986C,BUANGKOK COURT,BUANGKOK CRESCENT,33245.4124,40503.0012
471,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17295.0072,40063.5218
407,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17707.006,40265.2794
284,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17852.324,40187.4517
290,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 3,17661.2103,40092.4199
204,HDB-BISHAN,BISHAN STREET 23,29588.6994,37440.8849
203,HDB-BISHAN,BISHAN STREET 23,29572.8859,37403.3106
205,HDB-BISHAN,BISHAN STREET 23,29600.2969,37489.1761
206,HDB-BISHAN,BISHAN STREET 23,29612.5427,37529.8674
365,HDB-TAMAN JURONG,CORPORATION DRIVE,15409.3984,35544.7421
350,HDB-TAMAN JURONG,CORPORATION DRIVE,15292.6045,35649.1927
92,HDB-BEDOK,BEDOK NORTH AVENUE 4,40016.9912,34960.6837
91,HDB-BEDOK,BEDOK NORTH STREET 4,39911.2204,34971.9504
93,HDB-BEDOK,BEDOK NORTH AVENUE 4,40018.2969,35009.8732
94E,HDB-BEDOK,BEDOK NORTH AVENUE 4,39973.3907,35055.9136
304B,ANCHORVALE COURT,ANCHORVALE LINK,34220.5905,41175.4545
423,HDB-BUKIT BATOK,BUKIT BATOK WEST AVENUE 2,18165.2478,38246.0872
230,HDB-BUKIT BATOK,BUKIT BATOK EAST AVENUE 3,19283.4313,36649.1779
287,HDB-BUKIT BATOK,BUKIT BATOK EAST AVENUE 3,19676.5405,36585.2783
286,HDB-BUKIT BATOK,BUKIT BATOK EAST AVENUE 3,19666.6847,36542.0927
117,HDB-BEDOK,BEDOK NORTH ROAD,39705.1983,34762.7858
116,HDB-BEDOK,BEDOK NORTH ROAD,39657.4051,34801.8925
115,HDB-BEDOK,BEDOK NORTH ROAD,39523.6957,34848.931
113,,BEDOK NORTH STREET 2,39325.1161,34730.3822
114,,BEDOK NORTH STREET 2,39407.0102,34746.2609
202,BOON LAY GARDENS,BOON LAY DRIVE,14842.8696,36214.72
267,HDB-BOON LAY,BOON LAY DRIVE,13936.2067,36509.2011
203,BOON LAY GARDENS,BOON LAY DRIVE,14905.5954,36253.5281
104,HDB-KALLANG/WHAMPOA,TOWNER ROAD,31078.416,33564.9167
101,HDB-KALLANG/WHAMPOA,TOWNER ROAD,31089.2456,33519.4816
103,HDB-KALLANG/WHAMPOA,TOWNER ROAD,31151.2364,33655.6188
102,HDB-KALLANG/WHAMPOA,TOWNER ROAD,31192.1836,33649.2364
34,BENDEMEER VILLE,WHAMPOA WEST,31341.2295,33639.9061
645,HDB-BEDOK,JALAN TENAGA,36148.5551,34875.0716
646,HDB-BEDOK,JALAN TENAGA,36107.7784,34831.1458
469B,BLUE RIVERVIEW,ADMIRALTY DRIVE,25777.6322,47767.6574
360A,SUN BLISS,ADMIRALTY DRIVE,26055.8552,47871.0634
467,BLUE RIVERVIEW,ADMIRALTY DRIVE,25897.5521,48205.374
485,HDB-SEMBAWANG,ADMIRALTY LINK,26056.8667,48669.5866
173,KEBUN BARU LINK 1,ANG MO KIO AVENUE 4,28325.75,39700.6982
111,KEBUN BARU HEIGHTS,ANG MO KIO AVENUE 4,28407.914,39203.4225
3,KALLANG HEIGHTS,UPPER BOON KENG ROAD,32378.9275,32889.0975
32,WHAMPOA GARDENS,JALAN BAHAGIA,30757.5563,34262.4782
33,WHAMPOA GARDENS,JALAN BAHAGIA,30795.342,34315.5572
359,SUN BLISS,ADMIRALTY DRIVE,26057.7143,47926.8922
119,MCNAIR SPRING,MCNAIR ROAD,30621.0882,33552.9375
120,MCNAIR SPRING,MCNAIR ROAD,30639.4941,33525.8442
121,MCNAIR SPRING,MCNAIR ROAD,30562.2807,33470.3032
122,MCNAIR SPRING,MCNAIR ROAD,30617.4456,33456.444
124,MCNAIR SPRING,MCNAIR ROAD,30531.0367,33401.8158
123,MCNAIR SPRING,MCNAIR ROAD,30563.1593,33412.184
104,WHAMPOA VIEW,WHAMPOA DRIVE,30226.8269,33672.8353
99,WHAMPOA VIEW,WHAMPOA DRIVE,30279.802,33674.296
101,WHAMPOA VIEW,WHAMPOA DRIVE,30280.9329,33630.5416
100,WHAMPOA VIEW,WHAMPOA DRIVE,30340.4496,33670.6111
112,HDB-BEDOK,BEDOK NORTH ROAD,39376.0562,34806.3972
133,GEYLANG EAST GROVE,GEYLANG EAST AVENUE 1,33802.5778,33191.5336
206,TOA PAYOH NORTH,TOA PAYOH NORTH,29467.9396,36051.8724
435,CHONG BOON RISE,ANG MO KIO AVENUE 10,30325.4452,38859.2493
434,CHONG BOON RISE,ANG MO KIO AVENUE 10,30240.9452,38880.0177
431,CHONG BOON RISE,ANG MO KIO AVENUE 10,30187.9568,38916.3628
432,CHONG BOON RISE,ANG MO KIO AVENUE 10,30257.1127,38926.2895
433,CHONG BOON RISE,ANG MO KIO AVENUE 10,30340.9675,38900.4265
213,HDB-TOA PAYOH,LORONG 8 TOA PAYOH,30347.5314,35907.0379
214,HDB-TOA PAYOH,LORONG 8 TOA PAYOH,30342.8762,35998.6794
640,EUNOS TENAGA VILLE,BEDOK RESERVOIR ROAD,35972.1912,34922.6281
418,HDB-SEMBAWANG,CANBERRA ROAD,26436.2152,48219.5143
351C,HDB-SEMBAWANG,CANBERRA ROAD,26491.9422,48106.7847
306,HDB-SEMBAWANG,CANBERRA ROAD,26787.324,47481.2216
302,HDB-SEMBAWANG,CANBERRA ROAD,26859.7707,47407.6973
422,HDB-SEMBAWANG,CANBERRA ROAD,26345.314,48339.1676
352A,HDB-SEMBAWANG,CANBERRA ROAD,26479.0036,48031.5907
425,HDB-SEMBAWANG,CANBERRA ROAD,26370.7531,48443.3272
56,HDB-GUILLEMARD,CASSIA CRESCENT,33555.2778,32503.1142
144,BISHAN GREEN,BISHAN STREET 12,30225.0111,36452.2493
468C,BLUE RIVERVIEW,ADMIRALTY DRIVE,25947.8306,47993.3435
359B,SUN BLISS,ADMIRALTY DRIVE,25970.7977,47918.4726
356A,SUN BLISS,ADMIRALTY DRIVE,26167.5747,47897.3833
112,KEBUN BARU HEIGHTS,ANG MO KIO AVENUE 4,28272.432,39254.5407
614,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28656.4379,39994.3606
177,KEBUN BARU LINK 2,ANG MO KIO AVENUE 4,28534.6789,39758.7211
159,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28727.7713,39643.7971
161,,ANG MO KIO AVENUE 4,28686.7136,39581.9389
616,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28607.4166,39938.8704
258,KEBUN BARU VIEW,ANG MO KIO AVENUE 4,28356.8711,39103.5895
34,EUNOS COURT,EUNOS CRESCENT,35529.2472,33696.5791
317,CLEMENTI MEADOWS,CLEMENTI AVENUE 4,20343.2929,33367.5699
316,CLEMENTI MEADOWS,CLEMENTI AVENUE 4,20344.0675,33415.3475
301,CLEMENTI HAVEN,CLEMENTI AVENUE 4,20387.0428,33825.182
326,HDB-CLEMENTI,CLEMENTI AVENUE 5,20547.9663,32968.6999
324,HDB-CLEMENTI,CLEMENTI AVENUE 5,20514.1518,33046.5752
348,HDB-CLEMENTI,CLEMENTI AVENUE 5,21053.0948,33228.133
342,HDB-CLEMENTI,CLEMENTI AVENUE 5,20936.1759,33403.5142
118,SUNSET WAY RESIDENCE,CLEMENTI STREET 13,21163.7454,34128.3018
110,SUNSET WAY RESIDENCE,CLEMENTI STREET 13,21053.2973,33899.0924
215,HDB-TOA PAYOH,LORONG 8 TOA PAYOH,30424.9187,35998.0642
222,HDB-TOA PAYOH,LORONG 8 TOA PAYOH,30528.6256,35991.9804
223,HDB-TOA PAYOH,LORONG 8 TOA PAYOH,30474.4247,35935.7732
224,HDB-TOA PAYOH,LORONG 8 TOA PAYOH,30531.5702,35925.9638
179,HDB-BUKIT BATOK,BUKIT BATOK WEST AVENUE 8,17860.809,36439.418
169,HDB-BUKIT BATOK,BUKIT BATOK WEST AVENUE 8,17715.8628,36526.7075
166,HDB-BUKIT BATOK,BUKIT BATOK WEST AVENUE 8,17929.044,36586.9868
165,HDB-BUKIT BATOK,BUKIT BATOK WEST AVENUE 8,17834.4592,36607.3646
401,HDB-ANG MO KIO,ANG MO KIO AVENUE 10,30456.0197,38119.9441
404,HDB-ANG MO KIO,ANG MO KIO AVENUE 10,30382.4501,38192.9241
596B,CITY VIEW @ CHENG SAN,ANG MO KIO STREET 52,29917.1853,39339.9758
596D,CITY VIEW @ CHENG SAN,ANG MO KIO STREET 52,29971.1129,39320.0859
596A,CITY VIEW @ CHENG SAN,ANG MO KIO STREET 52,29962.0705,39381.8855
455,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 4,17078.8162,40155.3535
157,HDB-PASIR RIS,PASIR RIS STREET 13,42394.9172,38483.8014
158,HDB-PASIR RIS,PASIR RIS STREET 13,42347.0234,38524.6963
160,HDB-PASIR RIS,PASIR RIS STREET 13,42354.882,38482.7744
161,HDB-PASIR RIS,PASIR RIS STREET 13,42313.5586,38421.7817
159,HDB-PASIR RIS,PASIR RIS STREET 13,42241.1232,38421.7805
143,HDB-PASIR RIS,PASIR RIS STREET 11,42175.6035,38227.1666
91,COMMONWEALTH 16,COMMONWEALTH DRIVE,24265.6413,32022.0515
46-1,,COMMONWEALTH DRIVE,24112.2324,31316.0671
735,PASIR RIS WEST PLAZA,PASIR RIS STREET 72,39457.4424,40142.4692
725,HDB-PASIR RIS,PASIR RIS STREET 72,39409.7976,40350.4045
229,HDB-JURONG EAST,JURONG EAST STREET 21,17394.3268,35998.5277
275D,ASPELLA,COMPASSVALE LINK,34721.1869,40540.2049
101,CHONG PANG CITY,YISHUN AVENUE 5,27371.1445,45806.8921
115C,CHONG PANG GARDEN,YISHUN RING ROAD,27351.3355,46166.0852
115B,CHONG PANG GARDEN,YISHUN RING ROAD,27303.5411,46128.1987
60,COMMONWEALTH GREEN,COMMONWEALTH DRIVE,23968.0949,31179.6787
5A,MARSILING SPRING,MARSILING DRIVE,21532.3717,46862.8587
2,MARSILING SPRING,MARSILING DRIVE,21698.6407,46846.6547
5,MARSILING SPRING,MARSILING DRIVE,21552.6577,46823.2894
37,MARSILING SAPPHIRE,MARSILING DRIVE,21143.84,47466.2736
30,MARSILING SAPPHIRE,MARSILING DRIVE,21221.3246,47136.4609
291A,COMPASSVALE LODGE,COMPASSVALE STREET,35191.7066,41945.7667
297A,COMPASSVALE GREEN,COMPASSVALE STREET,35498.3618,41859.4964
485B,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 5,17482.0513,39588.7652
476D,SUNSHINE COURT,CHOA CHU KANG AVENUE 5,17438.7473,39918.248
349,HDB-CLEMENTI,CLEMENTI AVENUE 2,21070.599,33137.6247
43,HDB-QUEENSTOWN,HOLLAND DRIVE,23501.5177,32194.9762
21,HDB-QUEENSTOWN,HOLLAND DRIVE,23443.9142,32586.6348
18A,BUONA VISTA COURT,HOLLAND DRIVE,23389.0093,32595.7559
40,HDB-QUEENSTOWN,HOLLAND DRIVE,23568.5987,32166.4245
45,HDB-QUEENSTOWN,HOLLAND DRIVE,23505.7856,32325.8739
161,HDB-HOUGANG,HOUGANG STREET 11,33050.7323,37182.3969
154,HDB-HOUGANG,HOUGANG STREET 11,33213.5191,37146.1062
158,HDB-HOUGANG,HOUGANG STREET 11,33249.2278,37083.0749
130,HDB-BUKIT PANJANG,CASHEW ROAD,21096.0713,39556.792
133,HDB-BUKIT PANJANG,CASHEW ROAD,20938.4631,39583.6818
973,HDB-HOUGANG,HOUGANG STREET 91,33163.847,39976.3308
972,HDB-HOUGANG,HOUGANG STREET 91,33130.5637,40022.1742
10,HOLLAND VISTA,HOLLAND AVENUE,23654.8349,32274.1294
2,HDB-QUEENSTOWN,HOLLAND AVENUE,23797.7528,32406.2654
9,HDB-QUEENSTOWN,HOLLAND AVENUE,23673.574,32208.4427
8A,,HOLLAND AVENUE,23641.4482,32167.022
12,HOLLAND VISTA,HOLLAND AVENUE,23721.4013,32407.1362
8,HDB-QUEENSTOWN,HOLLAND AVENUE,23648.3384,32091.0667
170,HDB-HOUGANG,HOUGANG AVENUE 1,34231.7786,37062.5578
144,HDB-BUKIT MERAH,JALAN BUKIT MERAH,27625.722,28863.466
62,COMMONWEALTH GREEN,COMMONWEALTH DRIVE,23968.2177,31206.3239
80,HDB-QUEENSTOWN,COMMONWEALTH DRIVE,23807.9749,31588.4853
74,HDB-QUEENSTOWN,COMMONWEALTH DRIVE,23862.8531,31480.9662
77,HDB-QUEENSTOWN,COMMONWEALTH DRIVE,23835.4567,31534.7379
59,COMMONWEALTH GREEN,COMMONWEALTH DRIVE,23968.1591,31153.037
954,HDB-HOUGANG,HOUGANG AVENUE 9,32984.5398,39860.9941
923,HDB-HOUGANG,HOUGANG AVENUE 9,33517.2264,39790.9122
960,HDB-HOUGANG,HOUGANG AVENUE 9,33026.2017,39898.5618
290B,COMPASSVALE LODGE,COMPASSVALE CRESCENT,35089.4557,42102.3858
290C,COMPASSVALE LODGE,COMPASSVALE CRESCENT,35146.4064,42100.7681
365,HDB-CLEMENTI,CLEMENTI AVENUE 2,20946.9922,32733.0505
332,HDB-CLEMENTI,CLEMENTI AVENUE 2,20673.639,33002.917
350,HDB-CLEMENTI,CLEMENTI AVENUE 2,20974.5856,33100.1985
91A,TELOK BLANGAH PARCVIEW,TELOK BLANGAH STREET 31,25085.5248,28792.2034
92A,TELOK BLANGAH PARCVIEW,TELOK BLANGAH STREET 31,25128.1694,28777.6414
93A,TELOK BLANGAH PARCVIEW,TELOK BLANGAH STREET 31,25107.2106,28644.6922
90B,TELOK BLANGAH PARCVIEW,TELOK BLANGAH STREET 31,25061.0219,28856.6098
91B,TELOK BLANGAH PARCVIEW,TELOK BLANGAH STREET 31,25059.62,28829.9515
501B,PALM BREEZE @ YISHUN,YISHUN STREET 51,28805.0522,44314.4999
501A,PALM BREEZE @ YISHUN,YISHUN STREET 51,28793.8996,44263.8563
135,HDB-BUKIT PANJANG,CASHEW ROAD,20829.3494,39560.9857
132,HDB-BUKIT PANJANG,CASHEW ROAD,21030.0581,39585.8206
133A,HDB-BUKIT PANJANG,CASHEW ROAD,20991.8398,39630.0142
131,HDB-BUKIT PANJANG,CASHEW ROAD,21050.438,39619.6638
668,HDB-CENTRAL AREA,CHANDER ROAD,30020.9996,32211.2157
130,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 1,18760.7056,40361.8072
132,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 1,18816.2753,40336.4933
202,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 1,18668.1346,40422.1916
131,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 1,18834.0683,40384.2
274,HDB-CHOA CHU KANG,CHOA CHU KANG AVENUE 2,17934.0599,40149.4192
371,HDB-BUKIT BATOK,BUKIT BATOK STREET 31,18804.9124,37925.6722
306,HONG KAH GREEN,BUKIT BATOK STREET 31,18451.6513,37818.2529
355,HDB-BUKIT BATOK,BUKIT BATOK STREET 31,18786.4024,38204.3833
368,HDB-BUKIT BATOK,BUKIT BATOK STREET 31,18812.9579,38049.2636
360,HDB-BUKIT BATOK,BUKIT BATOK STREET 31,18797.2176,38125.5521
354,HDB-BUKIT BATOK,BUKIT BATOK STREET 31,18697.4841,38160.9876
308,HONG KAH GREEN,BUKIT BATOK STREET 31,18516.6776,37847.2716
309,HONG KAH GREEN,BUKIT BATOK STREET 31,18590.8935,37817.7438
357,HDB-BUKIT BATOK,BUKIT BATOK STREET 31,18824.9627,38190.5594
365,HDB-BUKIT BATOK,BUKIT BATOK STREET 31,18576.7576,38103.9394
296C,COMPASSVALE LODGE,COMPASSVALE CRESCENT,35392.6896,42133.2026
