ADDRESSBLOCK,ADDRESSROAD,ADDRESSSTREET,X,Y
101B,TOA PAYOH PALM SPRING,LORONG 2 TOA PAYOH,29589.9719,35751.5541
184A,CORPORATION SPRING,CORPORATION DRIVE,15599.0738,35007.284
116D,RIVERVALE EDGE,RIVERVALE DRIVE,35692.4833,40538.5694
895E,,WOODLANDS DRIVE 50,23416.3141,46390.1094
325A,,ANG MO KIO AVENUE 3,29510.0883,38839.1426
336,NEW BRIDGE CENTRE,SMITH STREET,29045.4486,29472.5505
318B,,JURONG EAST AVENUE 1,16595.5878,36653.1073
20,,CANTONMENT CLOSE,28703.2539,28516.6526
4A,GHIM MOH GREEN,GHIM MOH ROAD,22909.871,32818.8563
77,,REDHILL ROAD,26177.654,30091.4734
509C,,BEDOK NORTH STREET 3,38806.8762,35082.1704
304,HDB-HOUGANG,HOUGANG AVENUE 5,34925.3245,38865.3773
86A,HDB-BUKIT MERAH,TELOK BLANGAH HEIGHTS,25223.9437,28829.3307
373B,,HOUGANG STREET 31,34396.4343,38250.4269
128A,BUKIT MERAH VIEW,BUKIT MERAH VIEW,26919.4732,29525.2191
700D,AMK CENTRAL HEIGHTS,ANG MO KIO AVENUE 6,29508.5236,39083.4308
60B,,STRATHMORE AVENUE,25594.0351,30592.1161
184A,VISTA 8,BEDOK NORTH ROAD,40106.7315,34262.6686
530,,JURONG WEST STREET 52,14884.5504,36739.7462
182A,STIRLING RISE,STIRLING ROAD,24808.0642,30872.1173
356,,ADMIRALTY DRIVE,26209.2675,47906.8607
102,,YISHUN AVENUE 5,27493.0307,45816.0186
49,,TANGLIN HALT ROAD,23998.1074,31420.1503
524A,FRAGRANT WOODS,WOODLANDS DRIVE 14,23549.6163,46104.9463
2D,BOON TIONG ARCADIA,BOON TIONG ROAD,27944.2947,29892.5961
41,HDB-QUEENSTOWN,STIRLING ROAD,24507.8114,31222.6076
678,EDELWEISS@JURONG,JURONG WEST STREET 64,13625.5192,36391.0152
9A,,SELEGIE ROAD,29927.8046,31741.5557
46-3,,COMMONWEALTH DRIVE,24038.2122,31369.2236
105A,TIONG BAHRU ORCHID,JALAN BUKIT MERAH,26991.6743,29234.5299
