X,Y,description,ADDRESSBUILDINGNAME,ADDRESSSTREETNAME
103.8434132,1.370188598,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  122 ANG MO KIO,"BLK 122 ANG MO KIO AVE 3, #01-1753"
103.8367406,1.367549242,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  233 ANG MO KIO,"BLK 233 ANG MO KIO AVE 3, #01-1168"
103.7713506,1.314278598,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  352 CLEMENTI,"BLK 352 CLEMENTI AVE 2, #01-91"
103.7157595,1.352393579,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  544 JURONG WEST,"BLK 544 JURONG WEST ST 42, #01-97"
103.7540714,1.378297682,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  18 TECK WHYE,"BLK 18 TECK WHYE LANE, #01-95"
103.7436981,1.347371798,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  154A BUKIT BATOK WEST,"BLK 154A BUKIT BATOK WEST AVE 8, #01-01"
103.7695754,1.38824021,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  SEGAR,"BLK 547 SEGAR ROAD, #01-06"
103.7710296,1.384005823,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  FAJAR,"BLK 446 FAJAR RD, #01-01"
103.7064609,1.339830153,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",COURTS @ JURONG POINT,"1 JURONG WEST CENTRAL, JURONG POINT, #02-05"
103.8936616,1.372311856,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ HOUGANG MALL,"90 HOUGANG AVENUE 10, HOUGANG MALL, #04-15"
103.7064609,1.339830153,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ JURONG POINT,"1 JURONG WEST CENTRAL 2, JURONG POINT, #03-37"
